"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"customdeque.CustomArrayDequePerformanceTest.constructorCapacity","avgt",1,3,6679.664085,32765.599509,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.constructorCapacity","avgt",1,3,5294.304416,6614.359857,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.constructorCapacity","avgt",1,3,4698.599571,338.976533,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,23162.865538,26465.607682,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,45983.491968,25127.763011,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,67235.360144,14583.810348,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,92515.617314,29153.455465,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,143749.592148,561869.825359,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,141832.160996,67301.172935,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,169650.836271,28312.668688,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,202151.045431,49878.920456,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,246765.659945,333897.604656,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.constructorCollection","avgt",1,3,263123.534899,273268.059224,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,29.071509,173.177756,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,40.511143,35.697704,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,46.033867,132.596925,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,51.910455,35.084022,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,68.375360,385.993148,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,48.957874,146.495089,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,72.480934,586.381457,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,91.569021,342.974295,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,80.282439,468.647582,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.constructorDefault","avgt",1,3,93.938390,407.631053,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,10268.772206,103230.147115,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,8040.299300,1941.846439,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,11640.919425,3038.750275,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,15693.682821,4303.973224,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,19342.609024,2391.695420,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,23304.388654,2439.365268,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,32687.882030,199511.032052,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,51917.012009,633764.103349,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,37725.488276,114085.232633,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.contains","avgt",1,3,88450.033584,1068435.451616,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,141069.553500,22061.780046,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,285204.102187,49079.763941,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,433424.566398,225164.960900,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,556441.560439,210425.020235,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,703280.827623,476190.148096,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,847941.279144,83774.276491,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,970706.842427,53156.686788,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,1126112.918910,108148.091704,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,1273000.897854,45767.315994,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.containsAll","avgt",1,3,1399430.904990,361816.230939,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,6665.443689,874.464727,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,13009.415468,2935.221992,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,19272.296427,6671.161866,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,25181.223165,1503.092656,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,31594.674424,1657.334511,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,37980.085870,679.658967,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,44072.887793,13523.825836,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,50784.385658,14264.665337,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,60266.550169,79687.874151,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.descendingIteratorConsumption","avgt",1,3,62947.175307,22180.308131,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,28.976192,166.089684,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,47.268508,11.783489,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,45.436300,34.713135,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,39.817512,17.078208,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,41.400933,33.120111,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,46.051767,105.560991,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,50.475898,135.206614,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,44.153473,124.612023,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,76.890142,537.663784,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.element","avgt",1,3,82.460851,188.803492,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,56961.048215,7470.365378,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,144985.833334,21454.115308,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,214976.468891,930.220733,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,291912.932887,38074.681280,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,357821.194939,185848.402311,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,424493.682542,266403.816817,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,483609.501758,376179.634298,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,544720.235073,303709.746374,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,652029.758516,1151668.093962,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.equalsBenchmark","avgt",1,3,682540.614279,81542.921647,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,29.712078,222.579840,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,40.741098,7.208334,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,36.080549,11.053697,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,64.039735,54.724258,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,46.128305,42.399468,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,68.235701,123.551918,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,72.103139,285.563717,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,100.833116,537.074316,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,60.315254,389.863518,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.getFirst","avgt",1,3,169.849359,1102.073349,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,35.121568,256.510396,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,49.785969,103.358366,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,52.754101,284.049092,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,54.654861,65.963197,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,70.382731,272.865704,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,67.152292,256.942215,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,45.902707,114.484366,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,47.760922,105.359449,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,66.417278,227.052197,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.getLast","avgt",1,3,77.177788,777.151136,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,29.438761,261.053979,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,42.728276,17.400129,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,45.197331,63.975282,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,43.252154,21.776323,"ns/op",40000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,46.408572,66.966828,"ns/op",50000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,47.435058,122.132328,"ns/op",60000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,73.004659,325.286479,"ns/op",70000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,48.716631,39.916741,"ns/op",80000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,101.343032,290.101098,"ns/op",90000
"customdeque.CustomArrayDequePerformanceTest.isEmpty","avgt",1,3,73.985692,337.565593,"ns/op",100000
"customdeque.CustomArrayDequePerformanceTest.iteratorConsumption","avgt",1,3,7134.872739,59.756985,"ns/op",10000
"customdeque.CustomArrayDequePerformanceTest.iteratorConsumption","avgt",1,3,13802.493904,3666.939886,"ns/op",20000
"customdeque.CustomArrayDequePerformanceTest.iteratorConsumption","avgt",1,3,20344.176130,3511.687108,"ns/op",30000
"customdeque.CustomArrayDequePerformanceTest.iteratorConsumption","avgt",1,3,27945.219396,4635.498058,"ns/op",40000
