Benchmark;Size;Score (ns/op)
"offerFirst";30000;95000.0004937648
"offerFirst";40000;127173.35530463206
"offerFirst";50000;158850.71358176242
"offerFirst";60000;183005.7242251242
"offerFirst";70000;221835.76569339636
"offerFirst";80000;251723.25037188033
"offerFirst";90000;280415.8548130128
"offerFirst";100000;301407.1313793233
"offerLast";10000;35303.54193299149
"offerLast";20000;70732.79081197457
"offerLast";30000;106664.62554620129
"offerLast";40000;140814.03118004664
"offerLast";50000;194550.32658260132
"offerLast";60000;194749.0003535869
"offerLast";70000;253695.70906715808
"offerLast";80000;313053.50513665174
"offerLast";90000;311890.24324854015
"offerLast";100000;334256.3244183385
"peek";10000;31.108811137846306
"peek";20000;52.4675485505442
"peek";30000;50.82879131121749
"peek";40000;36.90160663778132
"peek";50000;53.84375726890781
"peek";60000;45.61668875134836
"peek";70000;38.4365572737049
"peek";80000;46.37428564541333
"peek";90000;94.87980982535106
"peek";100000;82.04092805699821
"peekFirst";10000;35.18897017001033
"peekFirst";20000;48.55750593576999
"peekFirst";30000;47.28532423556596
"peekFirst";40000;53.84511329686927
"peekFirst";50000;90.25902048544486
"peekFirst";60000;123.63779516000606
"peekFirst";70000;128.68761828864393
"peekFirst";80000;70.39263674897207
"peekFirst";90000;77.49408956919315
"peekFirst";100000;76.50274719478273
"peekLast";10000;26.755327282557307
"peekLast";20000;37.214760613326064
"peekLast";30000;42.53468786757842
"peekLast";40000;49.53072325811117
"peekLast";50000;45.51202276052584
"peekLast";60000;48.91434374594278
"peekLast";70000;84.12145659150555
"peekLast";80000;114.2959423192886
"peekLast";90000;55.13372743080698
"peekLast";100000;92.07066211409354
"poll";10000;19178.33522073121
"poll";20000;45442.52201925381
"poll";30000;66204.53356531194
"poll";40000;92189.04197723306
"poll";50000;118030.47242866603
"poll";60000;142031.33995001172
"poll";70000;171245.24876592378
"poll";80000;200681.16913021027
"poll";90000;217904.23982567448
"poll";100000;240446.23127806108
"pollFirst";10000;19638.381398065456
"pollFirst";20000;47937.75046635404
"pollFirst";30000;68467.76577017241
"pollFirst";40000;97470.08761665395
"pollFirst";50000;115449.1385845723
"pollFirst";60000;140753.26933680524
"pollFirst";70000;169571.39719902384
"pollFirst";80000;188153.19206098292
"pollFirst";90000;225203.51709428302
"pollFirst";100000;249401.46563966843
"pollLast";10000;18973.71551534191
"pollLast";20000;44948.58626788503
"pollLast";30000;67505.2485096386
"pollLast";40000;91901.84379057889
"pollLast";50000;116086.80439825352
"pollLast";60000;137683.64187777916
"pollLast";70000;166005.76547443247
"pollLast";80000;191405.90815684196
"pollLast";90000;218986.35487798435
"pollLast";100000;240043.45498056125
"pop";10000;22423.994563925615
"pop";20000;46234.94025146726
"pop";30000;69987.78861448837
"pop";40000;94478.25506304098
"pop";50000;115783.40381977927
"pop";60000;138573.91001463286
"pop";70000;167560.06201673698
"pop";80000;192282.8322858146
"pop";90000;218797.07175916727
"pop";100000;239530.97203493715
"push";10000;31976.463609036586
"push";20000;63644.34753701309
"push";30000;89953.26499162847
"push";40000;119467.49346230352
"push";50000;148081.39698550463
"push";60000;173548.93672904233
"push";70000;210792.7060203535
"push";80000;240990.8973554233
"push";90000;272453.62086386286
"push";100000;287163.4988329713
"remove";10000;22837.94523132067
"remove";20000;45937.3048509949
"remove";30000;71708.7722980979
"remove";40000;94576.61427687953
"remove";50000;116963.1441789556
"remove";60000;141895.05107093847
"remove";70000;182687.39952807673
"remove";80000;194747.99979667683
"remove";90000;221911.07133553494
"remove";100000;249277.7832221752
"removeAll";10000;152954.40471348606
"removeAll";20000;310253.4741678711
"removeAll";30000;485569.3758834153
"removeAll";40000;655366.6182045841
"removeAll";50000;810727.5192582923
"removeAll";60000;1049485.6111423294
"removeAll";70000;1155659.466150421
"removeAll";80000;1254963.8460898711
"removeAll";90000;1455070.6287631865
"removeAll";100000;1579350.0998557068
"removeFirst";10000;22308.725769029843
"removeFirst";20000;45595.596185767085
"removeFirst";30000;67712.5594673461
"removeFirst";40000;94111.2592955714
"removeFirst";50000;121492.97173871087
"removeFirst";60000;136210.91835741597
"removeFirst";70000;168668.05809390877
"removeFirst";80000;191593.01296956153
"removeFirst";90000;222781.0202685193
"removeFirst";100000;271587.3669261083
"removeFirstOccurrence";10000;29488.05513690658
"removeFirstOccurrence";20000;68540.97840277557
"removeFirstOccurrence";30000;109172.01143371845
"removeFirstOccurrence";40000;144005.4072620813
"removeFirstOccurrence";50000;178712.38616708355
"removeFirstOccurrence";60000;221796.67526357304
"removeFirstOccurrence";70000;329583.5156491615
"removeFirstOccurrence";80000;355086.79006033624
"removeFirstOccurrence";90000;399307.4463657285
"removeFirstOccurrence";100000;476715.59426452196
"removeLast";10000;22426.69288023122
"removeLast";20000;52308.640644148436
"removeLast";30000;72347.70994648304
"removeLast";40000;97051.18732897045
"removeLast";50000;128077.94441017912
"removeLast";60000;144175.16441987688
"removeLast";70000;175683.9645331142
"removeLast";80000;198752.5266211872
"removeLast";90000;222895.85389696868
"removeLast";100000;304062.14492579404
"removeLastOccurrence";10000;29087.693361011847
"removeLastOccurrence";20000;79006.35339839489
