Size;constructor();constructor(int);constructor(Collection);add(E);addFirst(E);addLast(E);offer(E);offerFirst(E);offerLast(E);push(E);addAll(Collection);element();getFirst();getLast();peek();peekFirst();peekLast();contains(Object);containsAll(Collection);size();isEmpty();remove();removeFirst();removeLast();poll();pollFirst();pollLast();pop();remove(Object);removeFirstOccurrence(Object);removeLastOccurrence(Object);removeAll(Collection);retainAll(Collection);clear();toArray();toArray(T[]);toString();equals(Object);iterator();descendingIterator()
10000;29;785;23163;30125;30052;30751;33689;33135;35304;31976;17684;29;30;35;31;35;27;10269;141070;28;29;22838;22309;22427;19178;19638;18974;22424;28526;29488;29088;152954;128102;36;1399;6943;176760;56961;7135;6665
20000;41;1506;45983;58702;61787;59591;68192;68224;70733;63644;32671;47;41;50;52;49;37;8040;285204;54;43;45937;45596;52309;45443;47938;44949;46235;67347;68541;79006;310253;286974;41;2861;13835;384604;144986;13802;13009
30000;46;1805;67235;85520;82350;84181;93269;95000;106665;89953;47143;45;36;53;51;47;43;11641;433425;51;45;71709;67713;72348;66205;68468;67505;69988;102900;109172;117530;485569;431170;49;4376;19270;527794;214976;20344;19272
40000;52;2986;92516;116612;118720;126206;130031;127173;140814;119467;65963;40;64;55;37;54;50;15694;556442;58;43;94577;94111;97051;92189;97470;91902;94478;132916;144005;161093;655367;586025;55;5864;25402;745894;291913;27945;25181
50000;68;2989;143750;146103;136197;176255;175595;158851;194550;148081;82059;41;46;70;54;90;46;19343;703281;53;46;116963;121493;128078;118030;115449;116087;115783;167279;178712;208260;810728;738141;48;7467;31970;886699;357821;34277;31595
60000;49;4233;141832;163410;163416;202766;186484;183006;194749;173549;104270;46;68;67;46;124;49;23304;847941;48;47;141895;136211;144175;142031;140753;137684;138574;214009;221797;246869;1049486;880447;51;9636;39549;1175696;424494;40872;37980
70000;72;6268;169651;208226;202064;268887;237480;221836;253696;210793;144966;50;72;46;38;129;84;32688;970707;55;73;182687;168668;175684;171245;169571;166006;167560;270542;329584;293560;1155659;1043177;51;13996;45841;1318282;483610;50436;44073
80000;92;6680;202151;229367;223505;331651;271224;251723;313054;240991;219967;44;101;48;46;70;114;51917;1126113;109;49;194748;191593;198753;200681;188153;191406;192283;322082;355087;336093;1254964;1449061;65;15093;54882;1386397;544720;58426;50784
90000;80;5294;246766;262982;265352;374461;302829;280416;311890;272454;187660;77;60;66;95;77;55;37725;1273001;62;101;221911;222781;222896;217904;225204;218986;218797;371009;399307;381816;1455071;1336064;59;13625;61212;1598530;652030;63401;60267
100000;94;4699;263124;272897;267051;355599;315140;301407;334256;287163;193349;82;170;77;82;77;92;88450;1399431;70;74;249278;271587;304062;240446;249401;240043;239531;466223;476716;433718;1579350;1548844;70;14875;77351;1857952;682541;68075;62947
